PDF_Page,Province,District,Item,Year,area_000_hectares,production_000_tonnes,hg/ha_yield
16,Punjab ,Attock,Wheat,1981-82,265.1,217.2,819.3134666
16,Punjab ,Attock,Wheat,1982-83,262.7,260.9,993.1480777
16,Punjab ,Attock,Wheat,1983-84,248.9,216.2,868.6219365
16,Punjab ,Attock,Wheat,1984-85,161,148.6,922.9813665
16,Punjab ,Attock,Wheat,1985-86,172.4,228.1,1323.085847
16,Punjab ,Attock,Wheat,1986-87,167.9,179.5,1069.088743
16,Punjab ,Attock,Wheat,1987-88,140,119.3,852.1428571
16,Punjab ,Attock,Wheat,1988-89,168.7,185.9,1101.956135
16,Punjab ,Attock,Wheat,1989-90,162.3,198.7,1224.276032
16,Punjab ,Attock,Wheat,1990-91,157,214,1363.057325
16,Punjab ,Attock,Wheat,1991-92,161.5,224.8,1391.950464
16,Punjab ,Attock,Wheat,1992-93,165.9,214.6,1293.550332
16,Punjab ,Attock,Wheat,1993-94,146.5,159.6,1089.419795
16,Punjab ,Attock,Wheat,1994-95,154.6,187.7,1214.100906
16,Punjab ,Attock,Wheat,1995-96,151.4,220.1,1453.764861
16,Punjab ,Attock,Wheat,1996-97,155.8,159.7,1025.032092
16,Punjab ,Attock,Wheat,1997-98,156.2,267.7,1713.828425
16,Punjab ,Attock,Wheat,1998-99,161.1,246.08,1527.498448
16,Punjab ,Attock,Wheat,1999-00,168.8,247.77,1467.831754
16,Punjab ,Attock,Wheat,2000-01,141.6,97.1,685.7344633
16,Punjab ,Attock,Wheat,2001-02,126.3,98.5,779.8891528
16,Punjab ,Attock,Wheat,2002-03,127.9,195,1524.628616
16,Punjab ,Attock,Wheat,2003-04,139.6,186.1,1333.094556
16,Punjab ,Attock,Wheat,2004-05,147.3,274.8,1865.580448
16,Punjab ,Attock,Wheat,2005-06,149.7,249.5,1666.666667
16,Punjab ,Attock,Wheat,2006-07,158.2,321,2029.077118
16,Punjab ,Attock,Wheat,2007-08,157,200.3,1275.796178
16,Punjab ,Attock,Wheat,2008-09,161.1,274.5,1703.910615
16,Punjab ,Bhakkar,Wheat,1981-82,118.2,0,0
16,Punjab ,Bhakkar,Wheat,1982-83,118.2,156.7,1325.71912
16,Punjab ,Bhakkar,Wheat,1983-84,118.1,148.5,1257.408975
