,Area,District,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Punjab,Attock,Wheat,1981,819.3134666,1485,121,16.37
1,Punjab,Attock,Wheat,1982,993.1480777,1485,121,16.37
2,Punjab,Attock,Wheat,1983,868.6219365,1485,121,16.37
3,Punjab,Attock,Wheat,1984,922.9813665,1485,121,16.37
4,Punjab,Attock,Wheat,1985,1323.085847,1485,121,16.37
5,Punjab,Attock,Wheat,1986,1069.088743,1485,121,16.37
6,Punjab,Attock,Wheat,1987,852.1428571,1485,121,15.36
7,Punjab,Attock,Wheat,1988,1101.956135,1485,121,15.36
8,Punjab,Attock,Wheat,1989,1224.276032,1485,121,15.36
9,Punjab,Attock,Wheat,1990,1363.057325,1485,121,15.36
10,Punjab,Attock,Wheat,1991,1391.950464,1485,121,15.36
11,Punjab,Attock,Wheat,1992,1293.550332,1485,121,15.36
12,Punjab,Attock,Wheat,1993,1089.419795,1485,121,16.06
13,Punjab,Attock,Wheat,1994,1214.100906,1485,121,16.06
14,Punjab,Attock,Wheat,1995,1453.764861,1485,121,16.06
15,Punjab,Attock,Wheat,1996,1025.032092,1485,121,16.06
16,Punjab,Attock,Wheat,1997,1713.828425,1485,121,16.06
17,Punjab,Attock,Wheat,1998,1527.498448,1485,121,16.06
18,Punjab,Attock,Wheat,1999,1467.831754,1485,121,16.05
19,Punjab,Attock,Wheat,2000,685.7344633,1485,121,16.05
20,Punjab,Attock,Wheat,2001,779.8891528,1485,121,16.05
21,Punjab,Attock,Wheat,2002,1524.628616,1485,121,16.05
22,Punjab,Attock,Wheat,2003,1333.094556,1485,121,16.05
23,Punjab,Attock,Wheat,2004,1865.580448,1485,201,16.96
24,Punjab,Attock,Wheat,2005,1666.666667,1485,201,16.96
25,Punjab,Attock,Wheat,2006,2029.077118,1485,201,16.96
26,Punjab,Attock,Wheat,2007,1275.796178,1485,201,16.96
27,Punjab,Attock,Wheat,2008,1703.910615,1485,251,15.67
28,Punjab,Bhakkar,Wheat,1981,0,1485,251,15.67
29,Punjab,Bhakkar,Wheat,1982,1325.71912,1485,251,15.67
30,Punjab,Bhakkar,Wheat,1983,1257.408975,1485,251,15.67
31,Punjab,Bhakkar,Wheat,1984,1222.016651,1485,313.96,15.64
32,Punjab,Bhakkar,Wheat,1985,1344.888889,1485,313.96,15.64
33,Punjab,Bhakkar,Wheat,1986,1299.835255,1485,313.96,15.64
34,Punjab,Bhakkar,Wheat,1987,1452.47766,1485,313.96,15.64
35,Punjab,Bhakkar,Wheat,1988,1532.97953,1485,376.93,15.9
36,Punjab,Bhakkar,Wheat,1989,1619.631902,1485,376.93,15.9
37,Punjab,Bhakkar,Wheat,1990,1665.098039,1485,376.93,15.9
38,Punjab,Bhakkar,Wheat,1991,1752.066116,1485,376.93,15.9
39,Punjab,Bhakkar,Wheat,1992,1651.979089,1485,439.89,16.27
40,Punjab,Bhakkar,Wheat,1993,1657.677903,1485,439.89,16.27
41,Punjab,Bhakkar,Wheat,1994,1779.285714,1485,439.89,16.27
42,Punjab,Bhakkar,Wheat,1995,1740.740741,1485,439.89,16.27
